PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
02F6A201,kdd97-d13,deep knowledge discovery from natural language texts,kdd,kdd97,1997,university of freiburg,udo hahn|klemens schnattinger,7A2A3AFA|114D854E,data cleaning|data interpretation|knowledge base|natural language
79AC334B,kdd12-d90,following the electrons methods for power management in commercial buildings,kdd,kdd12,2012,hp labs,geoff lyon|martin arlitt|manish marwah|gowtham bellala|cullen e bash,3BE0E159|82DDED0B|7F88CCE2|861F2209|74458E46,energy management|anomaly detection|hidden markov model|information gain
75A7078D,kdd15-p835,flexible and robust multi network clustering,kdd,kdd15,2015,case western reserve university,jingchao ni|xiang zhang|wei fan|hanghang tong,7DF1D45A|8168843B|848B3C51|849A8423,graph clustering
80B88F17,kdd98-d20,defining the goals to optimise data mining performance,kdd,kdd98,1998,open university,niall m adams|mark g kelly|david j hand,7F7C3054|7FDD6210|7FEDE8B3,data mining
7DD298CE,kdd11-d63,friendship and mobility user movement in location based social networks,kdd,kdd11,2011,stanford university,jure leskovec|seth a myers|eunjoon cho,84C8D88A|6FF9A5FC|7FF2B881,communication networks|degree of freedom|social network|social networks
75A10420,kdd08-d62,heterogeneous data fusion for alzheimer s disease study,kdd,kdd08,2008,,jing li|min bae|g alexander|r patel|zheng zhao|ravi janardan|eric m reiman|huan liu|teresa wu|jieping ye|kewei chen,812E6780|85B168DC|84912FCE|81393F76|29D7D0F9|76BB0D37|84BB3096|8118A14E|7F37859E|7EFCBF20|1BDDA8AF,genetics|neuroimaging|kernel method
7FE354DF,kdd09-d73,finding a team of experts in social networks,kdd,kdd09,2009,ibm,evimaria terzi|kun liu|theodoros lappas,82936BF0|80062718|78E6E4E5,social network|social networks
7DDCDA1D,kdd02-d56,learning domain independent string transformation weights for high accuracy object identification,kdd,kdd02,2002,university of southern california,sheila tejada|craig a knoblock|steven minton,76AF7B26|7EA9E37B|82F83CDA,lifetime value
755CDA12,kdd03-d87,using randomized response techniques for privacy preserving data mining,kdd,kdd03,2003,syracuse university,wenliang du|zhijun zhan,7D23C155|80BD016B,data mining|decision tree classifier|security|privacy|decision tree
764FE306,kdd12-d53,dependency clustering across measurement scales,kdd,kdd12,2012,florida state university,claudia plant,7E890BBC,clustering|goodness of fit|data compression|categorical data|minimum description length|data type
80A9158A,kdd08-d124,volatile correlation computation a checkpoint view,kdd,kdd08,2008,rutgers newark,hui xiong|wenjun zhou,805F02C6|7D096D2A,upper bound|dynamic data|very large database
7B931EF5,kdd12-d88,finding trending local topics in search queries for personalization of a recommendation system,kdd,kdd12,2012,yahoo,jeanfrancois crespo|george h mills|ziad al bawab,84A5FBF8|84E92D9B|84F6A563,clustering|recommender system|personalization
802C44B0,kdd01-d10,clustering spatial data using random walks,kdd,kdd01,2001,weizmann institute of science,yehuda koren|david harel,197FCF8C|7709370E,clustering|log likelihood|spatial data|random walk|spatial database|cluster analysis
7A9BD4AE,kdd02-d3,a parallel learning algorithm for text classification,kdd,kdd02,2002,kasetsart university,chuleerat jaruskulchai|canasai kruengkrai,0D59A505|0347E247,parallel algorithm|naive bayes|expectation maximization|naive bayes classifier|cluster computing|em algorithm|supervised learning
77F7AB91,kdd11-d152,triangle listing in massive networks and its applications,kdd,kdd11,2011,nanyang technological university,james cheng|shumo chu,7F13CFA2|7E569956,complex network|clustering coefficient
7E97094D,kdd04-d119,why collective inference improves relational classification,kdd,kdd04,2004,university of massachusetts amherst,jennifer neville|david jensen|brian gallagher,827742E8|7E9A1AE1|7EA267F6,relational learning|relational data|statistical model
763A6B05,kdd14-d123,sentiment expression conditioned by affective transitions and social forces,kdd,kdd14,2014,stanford university,andrew l maas|christopher potts|moritz sudhof|andres gomez emilsson,84F70694|7E0794B4|7ABD9B0F|80DF7E17,na
7FA95F3D,kdd04-d54,fully automatic cross associations,kdd,kdd04,2004,ibm,deepayan chakrabarti|spiros papadimitriou|dharmendra s modha|christos faloutsos,85A3DB69|82817E59|10F8F7E8|764867A8,graph partitioning|clustering|first principle|collaborative filtering|parallel processing|information theory|social network|information retrieval|graphs|k means clustering|principal component|scaling factor|decomposition|algorithms|sparse matrix|intervention
78742EC2,kdd12-d105,intelligent advertising framework for digital signage,kdd,kdd12,2012,intel,addicam v sanjay|phil tian|kunapareddy chiranjeevi|shahzad malik malik,84A85706|85100BA0|6DE775CF|84A1E093,point of sale|return on investment|data mining
7DB72538,kdd04-d97,probabilistic author topic models for information discovery,kdd,kdd04,2004,stanford university,padhraic smyth|michal rosenzvi|thomas l griffiths|mark steyvers,7CE7ACDE|1DCBED2D|8636EE3E|7E808425,markov chain monte carlo|unsupervised learning|probability distribution|stochastic process|algorithms|digital library|gibbs sampling
767ED039,kdd15-p2237,tornado forecasting with multiple markov boundaries,kdd,kdd15,2015,tufts university,wei ding|dawei wang|jian pei|xindong wu|shafiqul islam|david small|kui yu,81032E28|85747491|7E94597A|7EBD3AAB|80C1443D|82AF7A9F|7D6121D0,na
774A17CE,kdd11-d57,exploiting place features in link prediction on location based social networks,kdd,kdd11,2011,university of cambridge,salvatore scellato|cecilia mascolo|anastasios noulas,17223A48|781C6049|76F4CDAC,supervised learning|social network|recommender system|location based service|social services|social networks|location based services|social interaction
7A8AF9A5,kdd14-d90,networked bandits with disjoint linear payoffs,kdd,kdd14,2014,university of technology sydney,dacheng tao|meng fang,7D6A771B|80452048,social network
7E3A841F,kdd10-d30,cold start link prediction,kdd,kdd10,2010,,vincent leroy|b barla cambazoglu|francesco bonchi,79D710B1|767D7A0C|81BD1373,social network|social networks
7F816EA9,kdd13-d147,real time disease surveillance using twitter data demonstration on flu and cancer,kdd,kdd13,2013,northwestern university,alok choudhary|kathy lee|ankit agrawal,80CB4D83|7FDF01D7|80049242,social media|public health|cancer
7D6931F0,kdd05-d102,rule extraction from linear support vector machines,kdd,kdd05,2005,siemens healthcare,sathyakama sandilya|r bharat rao|glenn fung,7D82FAE8|7985A62B|7E7F3FFE,mathematical programming|support vector machine
760522DC,kdd07-d120,tracking multiple topics for finding interesting articles,kdd,kdd07,2007,lawrence livermore national laboratory,alfonso f cardenas|david buttler|terence critchlow|raymond k pon,7AAA9651|8043452D|7DBC9D24|0158965E,adaptive filter|personalization
7A583A51,kdd14-d84,mobile app recommendations with security and privacy awareness,kdd,kdd14,2014,rutgers newark,yong ge|hui xiong|enhong chen|hengshu zhu,805F02C6|7E9ED0F1|7F56748E|7D1343BC,recommender systems
