PID,PDFID,title,conf,folder,year,affil,authors,author_ids,keywords
7A01E9B1,kdd13-d14,accurate intelligible models with pairwise interactions,kdd,kdd13,2013,cornell university,johannes gehrke|rich caruana|giles hooker|yin lou,765C6147|5B16892B|771E721F|7DE207CD,regression|classification
7F434470,kdd11-d157,user click modeling for understanding and predicting search behavior,kdd,kdd11,2011,hong kong university of science and technology,dong wang|qiang yang|yuchen zhang|weizhu chen,7F80840A|7DAB7ADE|7DC8FC42|8538C8B7,satisfiability|probabilistic model|user model|dynamic bayesian network|information need|performance
7FB02489,kdd07-d17,canonicalization of database records using adaptive similarity measures,kdd,kdd07,2007,university of massachusetts amherst,michael wick|aron culotta|matthew marzilli|robert d hall|andrew mccallum,803D189A|7E23DD33|7F08F36E|778F41D9|7FB13EAC,data mining|canonical representation|edit distance|information extraction|data cleaning
4A978873,kdd96-d29,imputation of missing data using machine learning techniques,kdd,kdd96,1996,honeywell,tariq samad|steven a harp|robert p goldman|kamakshi lakshminarayan,78068393|79136FD3|804CA302|7EBCB7C5,machine learning|missing data|decision tree|multiple choice|bayesian approach
78F4B1AB,kdd13-d159,scalable supervised dimensionality reduction using clustering,kdd,kdd13,2013,,troy raeder|ori stitelman|claudia perlich|brian dalessandro|foster provost,6FD96F23|09D303D9|852915EF|796A56BA|7A7CCB2E,clustering
7D21927B,kdd08-d121,using ghost edges for classification in sparsely labeled networks,kdd,kdd08,2008,lawrence livermore national laboratory,brian gallagher|tina eliassirad|christos faloutsos|hanghang tong,827742E8|0D06A29C|84BA10BE|8311D172,semi supervised learning|random walk|statistical relational learning|roc curve
7B6E22AF,kdd14-d124,seven rules of thumb for web site experimenters,kdd,kdd14,2014,linkedin,ya xu|roger longbotham|ron kohavi|alex deng,7B350837|6E4D75E2|7D3ECF06|8176BEC8,randomized experiments
81284722,kdd06-d3,a mixture model for contextual text mining,kdd,kdd06,2006,university of illinois at urbana champaign,qiaozhu mei|chengxiang zhai,811B187D|80509AFE,comparative analysis|text mining|probabilistic model|mixture model|clustering|em algorithm
7578F74D,kdd13-d119,model based kernel for efficient time series analysis,kdd,kdd13,2013,university of birmingham,xin yao|peter tino|huanhuan chen|fengzhen tang,034047C2|7E87B0D2|7D8B1C37|7E53D408,reservoir computing|kernel methods|time series
7B763F3D,kdd04-d112,tivo making show recommendations using a distributed collaborative filtering architecture,kdd,kdd04,2004,,wijnand van stam|kamal ali,7EE790F6|7A38FF30,collaborative filtering|client server architecture|recommender system
7CB213ED,kdd15-p1215,incorporating world knowledge to document clustering via heterogeneous information networks,kdd,kdd15,2015,peking university,ming zhang|yangqiu song|ahmed elkishky|chenguang wang|dan roth|jiawei han,8632534A|7D23FBF1|8502702D|7E7A3A69|7E5E4F30|808D0B90,knowledge base|document clustering
81607CE6,kdd13-d13,a unified search federation system based on online user feedback,kdd,kdd13,2013,yahoo,helen song|luo jie|sudarshan lamkhede|rochit sapra|evans hsu|yi chang,84AB9B24|847B74F7|84B4C822|7CE970E6|08E1521D|8139101A,machine learning|information retrieval
7B04150E,kdd15-p457,reciprocity in social networks with capacity constraints,kdd,kdd15,2015,university of massachusetts amherst,zhili zhang|don towsley|bo jiang,7945B8D1|85561B06|7FD570BE,reciprocity|degree sequence|directed graph|social network
8019155C,kdd95-d26,knowledge discovery from multiple databases,kdd,kdd95,1995,george mason university,james s ribeiro|larry kerschberg|kenneth a kaufman,833E066C|80022DB3|8159F4DE,relational database|machine learning|knowledge discovery
8051A207,kdd13-d54,dynamic memory allocation policies for postings in real time twitter search,kdd,kdd13,2013,twitter,jimmy lin|michael p busch|nima asadi,80F636E3|7FFEC863|7D65190A,memory allocation
